Barcelona/283.2.0.18.61 (iPhone10,2; iOS 12_4_2; en_BD; en; scale=2.00; 750x1334; 451367207) AppleWebKit/420+
Barcelona/226.7.0.18.61 (iPhone12,7; iOS 7_1; en_ID; en; scale=2.00; 828x1792; 461396611) AppleWebKit/420+
Barcelona/248.7.0.18.61 (iPhone10,7; iOS 12_4_6; en_PK; en; scale=2.00; 750x1334; 454329256) AppleWebKit/420+
Barcelona/216.2.0.18.61 (iPhone5,2; iOS 10_3; en_PK; en; scale=2.00; 640x1136; 522303323) AppleWebKit/420+
Barcelona/240.4.0.18.61 (iPhone10,4; iOS 7_0_2; en_GB; en; scale=2.00; 750x1334; 43271193) AppleWebKit/420+
Barcelona/278.7.0.18.61 (iPhone7,7; iOS 12_1_4; en_AF; en; scale=2.00; 750x1334; 545450473) AppleWebKit/420+
Barcelona/298.7.0.18.61 (iPhone5,7; iOS 15_6_1; en_ID; en; scale=2.00; 640x1136; 456926058) AppleWebKit/420+
Barcelona/204.8.0.18.61 (iPhone7,8; iOS 12_2; de_DE; en; scale=2.00; 750x1334; 466021415) AppleWebKit/420+
Barcelona/254.2.0.18.61 (iPhone9,2; iOS 15_7; th_TH; en; scale=2.00; 750x1334; 464757565) AppleWebKit/420+
Barcelona/228.8.0.18.61 (iPhone10,8; iOS 12_5_1; en_AF; en; scale=2.00; 750x1334; 456926058) AppleWebKit/420+
Barcelona/221.5.0.18.61 (iPhone10,5; iOS 7_0_5; en_PK; en; scale=2.00; 750x1334; 594034127) AppleWebKit/420+
Barcelona/292.1.0.18.61 (iPhone9,1; iOS 17_0_1; en_IN; en; scale=2.00; 750x1334; 443288359) AppleWebKit/420+
Barcelona/280.4.0.18.61 (iPhone9,4; iOS 7_0_5; it_IT; en; scale=2.00; 750x1334; 441741211) AppleWebKit/420+
Barcelona/230.5.0.18.61 (iPhone7,5; iOS 16_1_2; en_AF; en; scale=2.00; 750x1334; 598410521) AppleWebKit/420+
Barcelona/206.4.0.18.61 (iPhone7,4; iOS 10_0_3; en_ID; en; scale=2.00; 750x1334; 574510888) AppleWebKit/420+
Barcelona/287.3.0.18.61 (iPhone9,3; iOS 12_4_5; en_IN; en; scale=2.00; 750x1334; 537545559) AppleWebKit/420+
Barcelona/292.9.0.18.61 (iPhone9,9; iOS 7_0_4; it_IT; en; scale=2.00; 750x1334; 469486797) AppleWebKit/420+
Barcelona/243.7.0.18.61 (iPhone7,7; iOS 9_3_3; en_US; en; scale=2.00; 750x1334; 485160637) AppleWebKit/420+
Barcelona/213.6.0.18.61 (iPhone10,6; iOS 13_2_2; en_PK; en; scale=2.00; 750x1334; 485160637) AppleWebKit/420+
Barcelona/216.4.0.18.61 (iPhone5,4; iOS 17_0; en_AF; en; scale=2.00; 640x1136; 468988771) AppleWebKit/420+
Barcelona/272.6.0.18.61 (iPhone7,6; iOS 9_3_1; en_US; en; scale=2.00; 750x1334; 464757565) AppleWebKit/420+
Barcelona/269.7.0.18.61 (iPhone10,7; iOS 13_1_2; en_BD; en; scale=2.00; 750x1334; 511907937) AppleWebKit/420+
Barcelona/234.8.0.18.61 (iPhone7,8; iOS 15_7; en_AF; en; scale=2.00; 750x1334; 595878028) AppleWebKit/420+
Barcelona/286.8.0.18.61 (iPhone7,8; iOS 14_5_1; en_GB; en; scale=2.00; 750x1334; 517742720) AppleWebKit/420+
Barcelona/230.1.0.18.61 (iPhone5,1; iOS 12_5_4; en_BD; en; scale=2.00; 640x1136; 410077179) AppleWebKit/420+
Barcelona/249.1.0.18.61 (iPhone10,1; iOS 11_2_2; en_GB; en; scale=2.00; 750x1334; 482716960) AppleWebKit/420+
Barcelona/259.3.0.18.61 (iPhone12,3; iOS 7_0; en_AF; en; scale=2.00; 828x1792; 450576493) AppleWebKit/420+
Barcelona/219.9.0.18.61 (iPhone12,9; iOS 7_0_1; en_US; en; scale=2.00; 828x1792; 527235363) AppleWebKit/420+
Barcelona/276.8.0.18.61 (iPhone9,8; iOS 12_4_6; en_BD; en; scale=2.00; 750x1334; 48628143) AppleWebKit/420+
Barcelona/201.5.0.18.61 (iPhone5,5; iOS 9_0; en_AF; en; scale=2.00; 640x1136; 531598589) AppleWebKit/420+
Barcelona/282.5.0.18.61 (iPhone12,5; iOS 10_0_1; en_BD; en; scale=2.00; 828x1792; 564088489) AppleWebKit/420+
Barcelona/290.7.0.18.61 (iPhone9,7; iOS 12_1; en_US; en; scale=2.00; 750x1334; 477893209) AppleWebKit/420+
Barcelona/283.9.0.18.61 (iPhone5,9; iOS 12_5_5; th_TH; en; scale=2.00; 640x1136; 466021415) AppleWebKit/420+
Barcelona/278.9.0.18.61 (iPhone9,9; iOS 13_3_1; en_PK; en; scale=2.00; 750x1334; 450576493) AppleWebKit/420+
Barcelona/223.4.0.18.61 (iPhone7,4; iOS 12_5_4; th_TH; en; scale=2.00; 750x1334; 596316756) AppleWebKit/420+
Barcelona/224.7.0.18.61 (iPhone9,7; iOS 8_3; en_US; en; scale=2.00; 750x1334; 441741211) AppleWebKit/420+
Barcelona/240.5.0.18.61 (iPhone7,5; iOS 11_2_5; en_GB; en; scale=2.00; 750x1334; 433233827) AppleWebKit/420+
Barcelona/222.9.0.18.61 (iPhone5,9; iOS 16_2; en_US; en; scale=2.00; 640x1136; 488574471) AppleWebKit/420+
Barcelona/297.5.0.18.61 (iPhone12,5; iOS 16_3; th_TH; en; scale=2.00; 828x1792; 466169273) AppleWebKit/420+
Barcelona/250.6.0.18.61 (iPhone10,6; iOS 7_0; en_PK; en; scale=2.00; 750x1334; 55941161) AppleWebKit/420+
Barcelona/226.2.0.18.61 (iPhone9,2; iOS 12_5_1; en_ID; en; scale=2.00; 750x1334; 517392305) AppleWebKit/420+
Barcelona/210.9.0.18.61 (iPhone12,9; iOS 15_0_1; it_IT; en; scale=2.00; 828x1792; 457268795) AppleWebKit/420+
Barcelona/283.6.0.18.61 (iPhone5,6; iOS 9_0; en_US; en; scale=2.00; 640x1136; 572957268) AppleWebKit/420+
Barcelona/230.9.0.18.61 (iPhone7,9; iOS 14_0; it_IT; en; scale=2.00; 750x1334; 452200695) AppleWebKit/420+
Barcelona/290.9.0.18.61 (iPhone9,9; iOS 15_1; en_AF; en; scale=2.00; 750x1334; 4183843) AppleWebKit/420+
Barcelona/229.6.0.18.61 (iPhone9,6; iOS 11_1_1; en_GB; en; scale=2.00; 750x1334; 450576493) AppleWebKit/420+
Barcelona/255.8.0.18.61 (iPhone12,8; iOS 12_1_4; en_IN; en; scale=2.00; 828x1792; 436289152) AppleWebKit/420+
Barcelona/257.4.0.18.61 (iPhone9,4; iOS 16_4_1; de_DE; en; scale=2.00; 750x1334; 499964990) AppleWebKit/420+
Barcelona/276.3.0.18.61 (iPhone12,3; iOS 14_0; en_ID; en; scale=2.00; 828x1792; 427032901) AppleWebKit/420+
Barcelona/234.2.0.18.61 (iPhone10,2; iOS 17_0_2; en_PK; en; scale=2.00; 750x1334; 59232369) AppleWebKit/420+
Barcelona/280.5.0.18.61 (iPhone9,5; iOS 11_4_1; en_ID; en; scale=2.00; 750x1334; 517742720) AppleWebKit/420+
Barcelona/292.2.0.18.61 (iPhone10,2; iOS 7_1; ru_RU; en; scale=2.00; 750x1334; 456926058) AppleWebKit/420+
Barcelona/249.8.0.18.61 (iPhone10,8; iOS 12_0_1; en_AF; en; scale=2.00; 750x1334; 464896079) AppleWebKit/420+
Barcelona/210.2.0.18.61 (iPhone5,2; iOS 10_3_1; en_ID; en; scale=2.00; 640x1136; 468140572) AppleWebKit/420+
Barcelona/250.6.0.18.61 (iPhone12,6; iOS 9_0; en_GB; en; scale=2.00; 828x1792; 543017003) AppleWebKit/420+
Barcelona/283.6.0.18.61 (iPhone7,6; iOS 12_4_1; th_TH; en; scale=2.00; 750x1334; 557688190) AppleWebKit/420+
Barcelona/240.1.0.18.61 (iPhone9,1; iOS 14_1; en_GB; en; scale=2.00; 750x1334; 598410521) AppleWebKit/420+
Barcelona/237.4.0.18.61 (iPhone12,4; iOS 17_0_3; en_PK; en; scale=2.00; 828x1792; 490729331) AppleWebKit/420+
Barcelona/233.3.0.18.61 (iPhone12,3; iOS 8_1; ru_RU; en; scale=2.00; 828x1792; 576579234) AppleWebKit/420+
Barcelona/214.2.0.18.61 (iPhone5,2; iOS 13_0; en_GB; en; scale=2.00; 640x1136; 425325211) AppleWebKit/420+
Barcelona/205.2.0.18.61 (iPhone7,2; iOS 16_3; en_GB; en; scale=2.00; 750x1334; 593153608) AppleWebKit/420+
Barcelona/295.6.0.18.61 (iPhone12,6; iOS 7_0_3; en_IN; en; scale=2.00; 828x1792; 559115888) AppleWebKit/420+
Barcelona/275.6.0.18.61 (iPhone10,6; iOS 12_4_4; ru_RU; en; scale=2.00; 750x1334; 469486797) AppleWebKit/420+
Barcelona/220.9.0.18.61 (iPhone5,9; iOS 8_0; en_US; en; scale=2.00; 640x1136; 468140572) AppleWebKit/420+
Barcelona/209.6.0.18.61 (iPhone5,6; iOS 10_2_1; en_US; en; scale=2.00; 640x1136; 436289152) AppleWebKit/420+
Barcelona/261.3.0.18.61 (iPhone9,3; iOS 9_3_4; en_US; en; scale=2.00; 750x1334; 545450473) AppleWebKit/420+
Barcelona/229.7.0.18.61 (iPhone9,7; iOS 15_4; en_PK; en; scale=2.00; 750x1334; 485160637) AppleWebKit/420+
Barcelona/214.2.0.18.61 (iPhone10,2; iOS 16_1_1; en_PK; en; scale=2.00; 750x1334; 477893209) AppleWebKit/420+
Barcelona/218.2.0.18.61 (iPhone7,2; iOS 16_0_2; en_PK; en; scale=2.00; 750x1334; 482716960) AppleWebKit/420+
Barcelona/278.8.0.18.61 (iPhone10,8; iOS 8_1_1; en_IN; en; scale=2.00; 750x1334; 592807627) AppleWebKit/420+
Barcelona/249.2.0.18.61 (iPhone9,2; iOS 9_0_2; en_AF; en; scale=2.00; 750x1334; 568884681) AppleWebKit/420+
Barcelona/286.6.0.18.61 (iPhone7,6; iOS 11_2_2; it_IT; en; scale=2.00; 750x1334; 443288359) AppleWebKit/420+
Barcelona/245.2.0.18.61 (iPhone5,2; iOS 11_3_1; en_US; en; scale=2.00; 640x1136; 499964990) AppleWebKit/420+
Barcelona/264.5.0.18.61 (iPhone10,5; iOS 13_1_3; en_AF; en; scale=2.00; 750x1334; 593200359) AppleWebKit/420+
Barcelona/217.3.0.18.61 (iPhone12,3; iOS 15_0; en_PK; en; scale=2.00; 828x1792; 527235363) AppleWebKit/420+
Barcelona/263.8.0.18.61 (iPhone10,8; iOS 10_1_1; en_PK; en; scale=2.00; 750x1334; 450576493) AppleWebKit/420+
Barcelona/204.1.0.18.61 (iPhone10,1; iOS 12_5_5; th_TH; en; scale=2.00; 750x1334; 592807627) AppleWebKit/420+
Barcelona/206.9.0.18.61 (iPhone12,9; iOS 12_3_2; en_PK; en; scale=2.00; 828x1792; 526793458) AppleWebKit/420+
Barcelona/267.7.0.18.61 (iPhone7,7; iOS 16_2; en_PK; en; scale=2.00; 750x1334; 461396611) AppleWebKit/420+
Barcelona/212.5.0.18.61 (iPhone10,5; iOS 8_4_1; ru_RU; en; scale=2.00; 750x1334; 537545559) AppleWebKit/420+
Barcelona/258.6.0.18.61 (iPhone9,6; iOS 12_4_2; en_PK; en; scale=2.00; 750x1334; 441490813) AppleWebKit/420+
Barcelona/268.1.0.18.61 (iPhone9,1; iOS 13_6_1; en_GB; en; scale=2.00; 750x1334; 531692597) AppleWebKit/420+
Barcelona/260.4.0.18.61 (iPhone10,4; iOS 9_3_4; en_US; en; scale=2.00; 750x1334; 526793458) AppleWebKit/420+
Barcelona/216.8.0.18.61 (iPhone7,8; iOS 12_5_3; ru_RU; en; scale=2.00; 750x1334; 496680716) AppleWebKit/420+
Barcelona/296.4.0.18.61 (iPhone5,4; iOS 11_2; en_GB; en; scale=2.00; 640x1136; 589640870) AppleWebKit/420+
Barcelona/205.5.0.18.61 (iPhone12,5; iOS 15_0_1; en_GB; en; scale=2.00; 828x1792; 466169273) AppleWebKit/420+
Barcelona/213.8.0.18.61 (iPhone12,8; iOS 16_6; en_US; en; scale=2.00; 828x1792; 531692597) AppleWebKit/420+
Barcelona/291.2.0.18.61 (iPhone10,2; iOS 12_5_4; en_BD; en; scale=2.00; 750x1334; 531598589) AppleWebKit/420+
Barcelona/281.6.0.18.61 (iPhone12,6; iOS 12_4_2; en_PK; en; scale=2.00; 828x1792; 485694226) AppleWebKit/420+
Barcelona/232.2.0.18.61 (iPhone7,2; iOS 14_4_1; en_PK; en; scale=2.00; 750x1334; 431984975) AppleWebKit/420+
Barcelona/286.9.0.18.61 (iPhone7,9; iOS 10_1_1; it_IT; en; scale=2.00; 750x1334; 452200695) AppleWebKit/420+
Barcelona/256.4.0.18.61 (iPhone12,4; iOS 9_3; en_US; en; scale=2.00; 828x1792; 572957268) AppleWebKit/420+
Barcelona/286.8.0.18.61 (iPhone7,8; iOS 10_0; en_BD; en; scale=2.00; 750x1334; 461396611) AppleWebKit/420+
Barcelona/211.4.0.18.61 (iPhone5,4; iOS 14_5; en_GB; en; scale=2.00; 640x1136; 517742720) AppleWebKit/420+
Barcelona/224.7.0.18.61 (iPhone12,7; iOS 12_4_4; it_IT; en; scale=2.00; 828x1792; 482716960) AppleWebKit/420+
Barcelona/282.2.0.18.61 (iPhone5,2; iOS 8_0_2; en_IN; en; scale=2.00; 640x1136; 477008339) AppleWebKit/420+
Barcelona/264.1.0.18.61 (iPhone7,1; iOS 12_1_4; it_IT; en; scale=2.00; 750x1334; 55941161) AppleWebKit/420+
Barcelona/242.3.0.18.61 (iPhone12,3; iOS 12_4_3; en_BD; en; scale=2.00; 828x1792; 543017003) AppleWebKit/420+
Barcelona/289.3.0.18.61 (iPhone12,3; iOS 9_0_2; en_AF; en; scale=2.00; 828x1792; 450576493) AppleWebKit/420+
Barcelona/236.9.0.18.61 (iPhone12,9; iOS 9_3_1; en_GB; en; scale=2.00; 828x1792; 596316756) AppleWebKit/420+
Barcelona/262.4.0.18.61 (iPhone7,4; iOS 15_2_1; th_TH; en; scale=2.00; 750x1334; 482716960) AppleWebKit/420+
Barcelona/200.6.0.18.61 (iPhone7,6; iOS 8_2; ru_RU; en; scale=2.00; 750x1334; 487270233) AppleWebKit/420+
Barcelona/248.2.0.18.61 (iPhone9,2; iOS 14_5; en_BD; en; scale=2.00; 750x1334; 458138198) AppleWebKit/420+
Barcelona/258.6.0.18.61 (iPhone10,6; iOS 16_6; en_ID; en; scale=2.00; 750x1334; 531569954) AppleWebKit/420+
Barcelona/220.3.0.18.61 (iPhone10,3; iOS 11_1_1; en_PK; en; scale=2.00; 750x1334; 461396611) AppleWebKit/420+
Barcelona/234.5.0.18.61 (iPhone10,5; iOS 13_2; it_IT; en; scale=2.00; 750x1334; 592280365) AppleWebKit/420+
Barcelona/280.1.0.18.61 (iPhone7,1; iOS 7_1; en_PK; en; scale=2.00; 750x1334; 526793458) AppleWebKit/420+
Barcelona/280.5.0.18.61 (iPhone12,5; iOS 16_1_1; en_PK; en; scale=2.00; 828x1792; 490729331) AppleWebKit/420+
Barcelona/235.1.0.18.61 (iPhone12,1; iOS 12_4_4; en_BD; en; scale=2.00; 828x1792; 596316756) AppleWebKit/420+
Barcelona/213.3.0.18.61 (iPhone9,3; iOS 10_0; de_DE; en; scale=2.00; 750x1334; 537545559) AppleWebKit/420+
Barcelona/272.7.0.18.61 (iPhone7,7; iOS 13_5_1; en_BD; en; scale=2.00; 750x1334; 487270233) AppleWebKit/420+
Barcelona/286.8.0.18.61 (iPhone12,8; iOS 14_4_2; en_PK; en; scale=2.00; 828x1792; 557688190) AppleWebKit/420+
Barcelona/260.1.0.18.61 (iPhone9,1; iOS 10_0_3; en_BD; en; scale=2.00; 750x1334; 412944454) AppleWebKit/420+
Barcelona/257.1.0.18.61 (iPhone10,1; iOS 17_0_1; en_BD; en; scale=2.00; 750x1334; 538939019) AppleWebKit/420+
Barcelona/295.6.0.18.61 (iPhone9,6; iOS 9_0; en_US; en; scale=2.00; 750x1334; 537545559) AppleWebKit/420+
Barcelona/275.6.0.18.61 (iPhone5,6; iOS 13_2_3; en_BD; en; scale=2.00; 640x1136; 592807627) AppleWebKit/420+
Barcelona/219.8.0.18.61 (iPhone5,8; iOS 12_4_6; de_DE; en; scale=2.00; 640x1136; 571972734) AppleWebKit/420+
Barcelona/220.2.0.18.61 (iPhone5,2; iOS 13_7; en_ID; en; scale=2.00; 640x1136; 538939019) AppleWebKit/420+
Barcelona/290.4.0.18.61 (iPhone9,4; iOS 17_0_1; en_PK; en; scale=2.00; 750x1334; 441741211) AppleWebKit/420+
Barcelona/249.7.0.18.61 (iPhone5,7; iOS 16_0; en_PK; en; scale=2.00; 640x1136; 596316756) AppleWebKit/420+
Barcelona/282.7.0.18.61 (iPhone12,7; iOS 14_8; en_GB; en; scale=2.00; 828x1792; 568884681) AppleWebKit/420+
Barcelona/201.6.0.18.61 (iPhone10,6; iOS 14_5; en_PK; en; scale=2.00; 750x1334; 443288359) AppleWebKit/420+
Barcelona/211.1.0.18.61 (iPhone5,1; iOS 10_0_1; en_AF; en; scale=2.00; 640x1136; 595878028) AppleWebKit/420+
Barcelona/245.3.0.18.61 (iPhone7,3; iOS 16_0_2; ru_RU; en; scale=2.00; 750x1334; 594034127) AppleWebKit/420+
Barcelona/283.8.0.18.61 (iPhone7,8; iOS 13_5; it_IT; en; scale=2.00; 750x1334; 564088489) AppleWebKit/420+
Barcelona/259.8.0.18.61 (iPhone12,8; iOS 13_3_1; de_DE; en; scale=2.00; 828x1792; 4183843) AppleWebKit/420+
Barcelona/232.5.0.18.61 (iPhone7,5; iOS 13_3_1; ru_RU; en; scale=2.00; 750x1334; 519455425) AppleWebKit/420+
Barcelona/231.9.0.18.61 (iPhone12,9; iOS 13_1_3; de_DE; en; scale=2.00; 828x1792; 454014197) AppleWebKit/420+
Barcelona/281.7.0.18.61 (iPhone9,7; iOS 16_5; en_BD; en; scale=2.00; 750x1334; 499964990) AppleWebKit/420+
Barcelona/202.7.0.18.61 (iPhone5,7; iOS 12_1; it_IT; en; scale=2.00; 640x1136; 469486797) AppleWebKit/420+
Barcelona/204.9.0.18.61 (iPhone12,9; iOS 12_1_1; en_PK; en; scale=2.00; 828x1792; 571972734) AppleWebKit/420+
Barcelona/266.9.0.18.61 (iPhone12,9; iOS 12_1_1; en_US; en; scale=2.00; 828x1792; 441741211) AppleWebKit/420+
Barcelona/224.6.0.18.61 (iPhone9,6; iOS 13_0; en_GB; en; scale=2.00; 750x1334; 557688190) AppleWebKit/420+
Barcelona/287.9.0.18.61 (iPhone7,9; iOS 14_2_1; de_DE; en; scale=2.00; 750x1334; 514344384) AppleWebKit/420+
Barcelona/257.7.0.18.61 (iPhone5,7; iOS 7_0_3; en_AF; en; scale=2.00; 640x1136; 593200359) AppleWebKit/420+
Barcelona/220.8.0.18.61 (iPhone7,8; iOS 12_3_1; en_US; en; scale=2.00; 750x1334; 527235363) AppleWebKit/420+
Barcelona/264.2.0.18.61 (iPhone5,2; iOS 9_3; en_BD; en; scale=2.00; 640x1136; 436079168) AppleWebKit/420+
Barcelona/205.3.0.18.61 (iPhone10,3; iOS 7_0_6; de_DE; en; scale=2.00; 750x1334; 517392305) AppleWebKit/420+
Barcelona/219.1.0.18.61 (iPhone9,1; iOS 15_6; en_ID; en; scale=2.00; 750x1334; 443288359) AppleWebKit/420+
Barcelona/225.6.0.18.61 (iPhone12,6; iOS 15_0; it_IT; en; scale=2.00; 828x1792; 573095041) AppleWebKit/420+
Barcelona/257.9.0.18.61 (iPhone9,9; iOS 11_0_1; en_BD; en; scale=2.00; 750x1334; 598410521) AppleWebKit/420+
Barcelona/277.2.0.18.61 (iPhone12,2; iOS 14_8; it_IT; en; scale=2.00; 828x1792; 457268795) AppleWebKit/420+
Barcelona/252.1.0.18.61 (iPhone5,1; iOS 13_3; en_GB; en; scale=2.00; 640x1136; 485160637) AppleWebKit/420+
Barcelona/259.7.0.18.61 (iPhone9,7; iOS 15_1_1; en_ID; en; scale=2.00; 750x1334; 454014197) AppleWebKit/420+
Barcelona/221.3.0.18.61 (iPhone5,3; iOS 16_3; it_IT; en; scale=2.00; 640x1136; 514344384) AppleWebKit/420+
Barcelona/272.6.0.18.61 (iPhone5,6; iOS 12_4_1; th_TH; en; scale=2.00; 640x1136; 441490813) AppleWebKit/420+
Barcelona/221.1.0.18.61 (iPhone5,1; iOS 12_5_6; it_IT; en; scale=2.00; 640x1136; 417553628) AppleWebKit/420+
Barcelona/217.5.0.18.61 (iPhone10,5; iOS 15_0_1; en_US; en; scale=2.00; 750x1334; 458113781) AppleWebKit/420+
Barcelona/266.7.0.18.61 (iPhone12,7; iOS 13_2; en_BD; en; scale=2.00; 828x1792; 412944454) AppleWebKit/420+
Barcelona/210.7.0.18.61 (iPhone10,7; iOS 10_2; ru_RU; en; scale=2.00; 750x1334; 442533694) AppleWebKit/420+
Barcelona/226.6.0.18.61 (iPhone7,6; iOS 8_4; en_PK; en; scale=2.00; 750x1334; 477008339) AppleWebKit/420+
Barcelona/247.2.0.18.61 (iPhone9,2; iOS 15_0; th_TH; en; scale=2.00; 750x1334; 598410521) AppleWebKit/420+
Barcelona/245.4.0.18.61 (iPhone5,4; iOS 12_5_2; en_PK; en; scale=2.00; 640x1136; 531598589) AppleWebKit/420+
Barcelona/218.4.0.18.61 (iPhone9,4; iOS 11_2_6; en_PK; en; scale=2.00; 750x1334; 493070840) AppleWebKit/420+
Barcelona/202.1.0.18.61 (iPhone12,1; iOS 12_0_1; th_TH; en; scale=2.00; 828x1792; 417553628) AppleWebKit/420+
Barcelona/232.2.0.18.61 (iPhone7,2; iOS 16_4; en_AF; en; scale=2.00; 750x1334; 543017003) AppleWebKit/420+
Barcelona/219.6.0.18.61 (iPhone7,6; iOS 13_3; it_IT; en; scale=2.00; 750x1334; 496680716) AppleWebKit/420+
Barcelona/232.6.0.18.61 (iPhone10,6; iOS 13_5_1; ru_RU; en; scale=2.00; 750x1334; 594034127) AppleWebKit/420+
Barcelona/295.5.0.18.61 (iPhone7,5; iOS 14_7_1; en_PK; en; scale=2.00; 750x1334; 589640870) AppleWebKit/420+
Barcelona/259.2.0.18.61 (iPhone7,2; iOS 15_2; en_PK; en; scale=2.00; 750x1334; 517742720) AppleWebKit/420+
Barcelona/216.4.0.18.61 (iPhone7,4; iOS 12_1_1; it_IT; en; scale=2.00; 750x1334; 431984975) AppleWebKit/420+
Barcelona/271.6.0.18.61 (iPhone9,6; iOS 12_1_4; en_BD; en; scale=2.00; 750x1334; 598410521) AppleWebKit/420+
Barcelona/242.9.0.18.61 (iPhone10,9; iOS 7_1; en_ID; en; scale=2.00; 750x1334; 439065340) AppleWebKit/420+
Barcelona/245.9.0.18.61 (iPhone7,9; iOS 10_3_3; en_IN; en; scale=2.00; 750x1334; 466169273) AppleWebKit/420+
Barcelona/207.1.0.18.61 (iPhone7,1; iOS 9_3_1; it_IT; en; scale=2.00; 750x1334; 517392305) AppleWebKit/420+
Barcelona/245.2.0.18.61 (iPhone12,2; iOS 9_0; it_IT; en; scale=2.00; 828x1792; 556764124) AppleWebKit/420+
Barcelona/258.5.0.18.61 (iPhone5,5; iOS 12_4_7; en_PK; en; scale=2.00; 640x1136; 568884681) AppleWebKit/420+
Barcelona/206.1.0.18.61 (iPhone12,1; iOS 9_1; en_ID; en; scale=2.00; 828x1792; 530745906) AppleWebKit/420+
Barcelona/291.9.0.18.61 (iPhone7,9; iOS 15_4_1; en_ID; en; scale=2.00; 750x1334; 530745906) AppleWebKit/420+
Barcelona/202.2.0.18.61 (iPhone9,2; iOS 12_1_1; en_ID; en; scale=2.00; 750x1334; 472314904) AppleWebKit/420+
Barcelona/275.1.0.18.61 (iPhone9,1; iOS 10_1; en_IN; en; scale=2.00; 750x1334; 557688190) AppleWebKit/420+
Barcelona/259.4.0.18.61 (iPhone7,4; iOS 13_4_1; en_US; en; scale=2.00; 750x1334; 458138198) AppleWebKit/420+
Barcelona/231.1.0.18.61 (iPhone9,1; iOS 14_0_1; en_BD; en; scale=2.00; 750x1334; 545450473) AppleWebKit/420+
Barcelona/285.4.0.18.61 (iPhone12,4; iOS 16_0_1; ru_RU; en; scale=2.00; 828x1792; 543017003) AppleWebKit/420+
Barcelona/267.1.0.18.61 (iPhone9,1; iOS 13_6; en_US; en; scale=2.00; 750x1334; 531569954) AppleWebKit/420+
Barcelona/247.9.0.18.61 (iPhone9,9; iOS 12_1_2; ru_RU; en; scale=2.00; 750x1334; 485694226) AppleWebKit/420+
Barcelona/299.1.0.18.61 (iPhone5,1; iOS 12_4_9; en_IN; en; scale=2.00; 640x1136; 43271193) AppleWebKit/420+
Barcelona/286.5.0.18.61 (iPhone10,5; iOS 12_4_6; th_TH; en; scale=2.00; 750x1334; 519455425) AppleWebKit/420+
Barcelona/246.6.0.18.61 (iPhone7,6; iOS 10_0_2; en_US; en; scale=2.00; 750x1334; 531569954) AppleWebKit/420+
Barcelona/252.5.0.18.61 (iPhone9,5; iOS 10_3_3; en_AF; en; scale=2.00; 750x1334; 461396611) AppleWebKit/420+
